order_book_id,date,volume,prev_close,close,open,low,high,total_turnover
000002.XSHG,2014-07-04,10482375300.0,2160.323,2156.249,2159.397,2150.843,2162.251,83502548685.0
000002.XSHG,2014-07-07,9697376600.0,2156.249,2156.785,2154.939,2147.306,2161.155,81381522944.0
000002.XSHG,2014-07-08,9484294900.0,2156.785,2161.05,2154.906,2143.423,2161.48,81491483047.0
000002.XSHG,2014-07-09,11306368100.0,2161.05,2134.41,2158.543,2133.344,2159.414,97073423504.0
000002.XSHG,2014-07-10,9775390800.0,2134.41,2134.062,2132.238,2130.552,2141.635,84664850696.0
000002.XSHG,2014-07-11,10494048500.0,2134.062,2143.103,2129.363,2128.455,2148.145,86181860171.0
000002.XSHG,2014-07-14,11490915600.0,2143.103,2163.764,2143.927,2140.942,2164.49,96261708517.0
000002.XSHG,2014-07-15,12423470600.0,2163.764,2167.675,2162.987,2156.4770000000008,2167.675,102774886378.0
000002.XSHG,2014-07-16,13690337200.0,2167.675,2164.471,2165.562,2158.478,2173.074,101924190068.0
000002.XSHG,2014-07-17,10426978200.0,2164.471,2152.2,2159.865,2142.331,2159.865,79003105322.0
000002.XSHG,2014-07-18,10645388900.0,2152.2,2155.832000000001,2143.711,2142.149,2164.408,82427236658.0
000002.XSHG,2014-07-21,9373427000.0,2155.832000000001,2151.007,2154.466,2145.4410000000007,2158.723,75647421177.0
000002.XSHG,2014-07-22,12299681600.0,2151.007,2173.029,2146.819,2146.1,2175.773,98609963428.0
000002.XSHG,2014-07-23,13696944000.0,2173.029,2176.212,2171.688,2169.626,2186.403,106586872560.0
000002.XSHG,2014-07-24,16530209700.0,2176.212,2204.09,2177.42,2177.42,2207.13,128530118783.0
000002.XSHG,2014-07-25,14212710700.0,2204.09,2226.701,2207.929,2205.821,2227.337,111260447790.0
000002.XSHG,2014-07-28,23565742800.0,2226.701,2280.536,2235.765,2235.765,2284.28,180183221822.0
000002.XSHG,2014-07-29,19973338800.0,2280.536,2285.958,2282.507,2274.368,2296.8,159021881549.0
000002.XSHG,2014-07-30,18449939400.0,2285.958,2283.917,2280.686,2279.712,2297.884,149368852056.0
000002.XSHG,2014-07-31,16436616800.0,2283.917,2305.213,2282.13,2276.1710000000007,2305.809,132276718408.0
000002.XSHG,2014-08-01,19109017400.0,2305.213,2288.117,2297.445,2287.426,2323.28,151690405721.0
000002.XSHG,2014-08-04,17378296200.0,2288.117,2328.021,2293.1020000000008,2289.774,2328.794,139942930974.0
